0.00466,0.03816,0.21859,0.75342,1.75359,0.67926,0.35554
0.00464,0.03768,0.21565,0.74557,1.74218,0.67885,0.35548
0.00458,0.03658,0.20913,0.72837,1.71726,0.67796,0.35536
0.00424,0.03253,0.18765,0.67348,1.63837,0.67517,0.35497
0.00315,0.02476,0.15298,0.58978,1.51991,0.671,0.35438
0.00234,0.02042,0.1359,0.55041,1.46494,0.66907,0.35411
0.00137,0.01515,0.11468,0.50052,1.39405,0.6664,0.35374
0.00023,0.0058,0.06746,0.3727,1.19584,0.65656,0.35235
0,0.00139,0.03173,0.24661,0.96571,0.63947,0.34988
0,0.00015,0.01063,0.13729,0.71412,0.61022,0.34555
0,0,0.0021,0.05918,0.46369,0.56166,0.33797
0,0,0,0.00281,0.09834,0.37513,0.30294
0,0,0,0,0.00306,0.1106,0.21452
0,0,0,0,0,0.00334,0.07269
0,0,0,0,0,0.00258,0.00258
